id,phrase,pos
p0,你好,phrs
p1,您好,phrs
p2,欢迎,phrs
p3,早上好,phrs
p4,下午好,phrs
p5,晚上好,phrs
p6,你需要什么？,phrs
p7,你叫什么名字？,phrs
p8,我叫*,vp
p9,很高兴见到你,phrs
p10,好,adj
p11,很*,adv
p12,今天,adv
p13,有*,vp
p14,橘子,np
p15,苹果,np
p16,芒果,np
p17,*多少钱？,vp
p18,多少钱？,phrs
p19,*块钱,prt
p20,每QUANT*,prt
p21,我要*,vp
p22,*公斤,prt
p23,请,adv
p24,好,phrs
p25,你还需要什么吗？,phrs
p26,是的,phrs
p27,不是,phrs
p28,不用了，谢谢,phrs
p29,不要,phrs
p30,再见,phrs
p31,对,adj
p32,不对,adj
p33,谢谢,phrs
p34,不用谢,phrs
p35,有没有*？,vp
p36,我听不懂,phrs
p37,和,conj
p38,对不起,phrs
p39,你会说*吗？,vp
p40,帮帮我！,phrs
