p0	Hello	sent
p1	Hi	sent
p2	Welcome	sent
p3	Good Morning	sent
p4	Good Afternoon	sent
p5	Good Evening	sent
p6	What would you like?	sent
p7	What is your name?	sent
p8	My name is *	vp
p9	Nice to meet you	sent
p10	good	adj
p11	very *	adv
p12	Today	adv
p13	We have *	vp
p14	Orange	np
p15	Apple	np
p16	Mango	np
p17	How much are *?	vp
p18	What is the price?	sent
p19	* dollars	prt
p20	per *	prt
p21	I would like *	vp
p22	* kilograms	prt
p23	please	adv
p24	okay	sent
p25	Would you like anything else?	sent
p26	Yes	sent
p27	No	sent
p28	No, thanks	sent
p29	I don't need it.	sent
p30	Good bye	sent
p31	Right	adj
p32	Wrong	adj
p33	Thank you	sent
p34	You are welcome	sent
p35	Do you have *?	vp
p36	I do not understand	sent
p37	and	conj
p38	Sorry	sent
p39	Do you speak *?	vp
p40	Help!	sent
