,category,english,chinese
0,Basics, Hello. , 你好。
1,Basics, How are you? , 你好吗？
2,Basics," Fine, thank you. "," 很好, 谢谢。"
3,Basics," May I please ask, what is your name? ", 请问你叫什么名?
4,Basics, What is your name? ,  你叫什么名字？
5,Basics, My name is ______ . , 我叫 _____ 。
6,Basics, Nice to meet you. ,  很高兴认识你。
7,Basics, Please. ,  请。
8,Basics, Thank you. ,  谢谢。
9,Basics, You're welcome. , 不客气。
10,Basics, Excuse me. (getting attention) ,请问
11,Basics, Excuse me. (begging pardon) , 打扰一下。
12,Basics, Excuse me. (coming through) ,对不起
13,Basics, I'm sorry. , 对不起。
14,Basics," It's okay. (polite response to ""I'm sorry"")", 没关系
15,Basics, Goodbye ,  再见。
16,Basics, Goodbye (informal) , 拜拜。
17,Basics, I can't speak Chinese. ,  我不会讲中文。
18,Basics, Do you speak English? , 你会说英语吗？
19,Basics, Is there someone here who speaks English? , 这里有人会说英语吗？
20,Basics, Help! (in emergencies), 救命！
21,Basics, Good morning. ,  早安。
22,Basics, Good evening. ,  晚上好。
23,Basics, Good night. ,  晚安。
24,Basics, I don't understand (something heard). , 我听不懂。
25,Basics, I don't understand (something read). , 我看不懂。
26,Basics, Where is the toilet? , 厕所在哪里？
27,Basics, Where is the bathroom（polite)? , 洗手间在哪里？
28,Problems, Leave me alone. , 不要打扰我。
29,Problems, I don't want it! (useful for people who come up trying to sell you something) , 我不要
30,Problems, Don't touch me! , 不要碰我！
31,Problems, I'll call the police. , 我会叫警察。
32,Problems, Police! , 警察！
33,Problems, Stop! Thief! , 住手！小偷！
34,Problems, I need your help. , 我需要你的帮助。
35,Problems, It's an emergency. , 这是紧急情况。
36,Problems, I'm lost. , 我迷路了。
37,Problems, I lost my bag. , 我丟了手提包。
38,Problems, I lost my wallet. , 我丟了钱包。
39,Problems, I'm sick. , 我生病了。
40,Problems, I've been injured. , 我受伤了。
41,Problems, I need a doctor. , 我需要医生。
42,Problems, Can I make a telephone call? , 我可以打个电话吗？
43,Problems, Can I use your phone? ,我可以用您的电话吗？
44,Problems, Can I use your cell phone? ,我可以用您的手机吗？
45,Going to the doctor, I am sick. , 我生病了。
46,Going to the doctor, Painful. , 痛。
47,Going to the doctor, Uncomfortable. , 不舒服。
48,Going to the doctor, Itchy/ticklish. , 痒。
49,Going to the doctor, Sore (In muscle strains). , 酸。
50,Going to the doctor, Fever. , 发烧。
51,Going to the doctor, Cough. , 咳嗽。
52,Going to the doctor, Sneeze. , 打喷嚏
53,Going to the doctor, Diarrhoea. , 泻肚子/拉肚子
54,Going to the doctor, Running nose. , 流鼻涕
55,Going to the doctor, Phlegm. , 痰。
56,Going to the doctor, Hands/Arms. , 手。
57,Going to the doctor, Fingers. , 手指。
58,Going to the doctor, Wrist. , 手腕。
59,Going to the doctor, Shoulder. , 肩膀。
60,Going to the doctor, Feet. , 脚。
61,Going to the doctor, Toes. , 脚指。
62,Going to the doctor, Legs. , 腿。
63,Going to the doctor, Nails. , 指甲。
64,Going to the doctor, Body. , 身体。
65,Going to the doctor, Eyes. , 眼睛。
66,Going to the doctor, Ears. , 耳朵。
67,Going to the doctor, Nose. , 鼻子。
68,Going to the doctor, Face. , 脸。
69,Going to the doctor, Hair. , 头发。
70,Going to the doctor, Head. , 头。
71,Going to the doctor, Neck. , 颈项/脖子。
72,Going to the doctor, Throat. , 喉咙。
73,Going to the doctor, Chest. , 胸。
74,Going to the doctor, Abdomen. , 肚子。
75,Going to the doctor, Hip/Waist. , 腰。
76,Going to the doctor, Buttocks. , 屁股。
77,Going to the doctor, Back. , 背。
78,Numbers, 0 , 〇
79,Numbers, 1 , 一
80,Numbers, 2 , 二
81,Numbers, 3 , 三
82,Numbers, 4 , 四
83,Numbers, 5 , 五
84,Numbers, 6 , 六
85,Numbers, 7 , 七
86,Numbers, 8 , 八
87,Numbers, 9 , 九
88,Numbers, 10 , 十
89,Numbers, 11 ,十一
90,Numbers, 12 ,十二
91,Numbers, 13 ,十三
92,Numbers, 14 ,十四
93,Numbers, 15 ,十五
94,Numbers, 16 ,十六
95,Numbers, 17 ,十七
96,Numbers, 18 ,十八
97,Numbers, 19 ,十九
98,Numbers, 20 ,二十
99,Numbers, 21 ,二十一
100,Numbers, 22 ,二十二
101,Numbers, 23 ,二十三
102,Numbers, 30 ,三十
103,Numbers, 40 ,四十
104,Numbers, 50 ,五十
105,Numbers, 60 ,六十
106,Numbers, 70 ,七十
107,Numbers, 80 ,八十
108,Numbers, 90 ,九十
109,Numbers, 100 , 一百
110,Numbers, 101 , 一百〇一
111,Numbers, 110 , 一百一十
112,Numbers, 111 ,一百一十一
113,Numbers, 200 ,二百
114,Numbers, 300 ,三百
115,Numbers, 500 ,五百
116,Numbers, 1000 , 一千
117,Numbers, 2000 ,二千
118,Numbers, 2000 ,or
119,Numbers," 10,000 ", 一万
120,Numbers," 10,001 ",一万〇一
121,Numbers," 10,002 ",一万〇二
122,Numbers," 20,000 ",二万
123,Numbers," 50,000 ",五万
124,Numbers," 100,000 ",十万
125,Numbers," 200,000 ",二十万
126,Numbers," 1,000,000 ",一百万
127,Numbers," 10,000,000 ",一千万
128,Numbers," 100,000,000 ", 一亿
129,Numbers," 1,000,000,000,000 ",一兆
130,Numbers, half ,半
131,Numbers, less than ,少於
132,Numbers, more than ,多於
133,Numbers, more ,更
134,Time, now ,现在
135,Time, later ,以后
136,Time, before ," 以前,"
137,Time, morning ," 早上,"
138,Time, noon," 中午,"
139,Time, afternoon ," 下午,"
140,Time, evening/night ," 晚上,"
141,Time, midnight, 半夜 bànyè or 午夜
142,Time, What time is it? , 现在几点？
143,Time, It is nine in the morning. , 早上9点钟。
144,Time, Three-thirty PM. ,下午3点半.
145,Time, 3:38 PM ,下午3点38分
146,Time, _____ minute(s) ,_____
147,Time, _____ hour(s) ,_____
148,Time, _____ day(s) ,_____
149,Time, _____ week(s) ,_____
150,Time, _____ month(s) ,_____
151,Time, _____ year(s) ,_____
152,Time, today ,今天
153,Time, yesterday ,昨天
154,Time, the day before yesterday, 前天qiăntiān
155,Time, tomorrow ,明天
156,Time, the day after tomorrow,后天
